"Amount","Currency","Current value in USD","Current value in BTC","Exchange"
"1009.09992893","MASA","14.88","0.00013553","Ledger Wallets"
"33.00000000","MAXI","0.31","0.00000282","Ledger Wallets"
"15.62014493","MEME","0.05","0.00000047","Ledger Wallets"
"5.62014493","META","0.12","0.00000105","Ledger Wallets"
"187.60000000","MIR2","2.25","0.00002046","Ledger Wallets"
"7234.00000000","MOMO","1.96","0.00001781","Ledger Wallets"
"740000.00000000","NATO","1.67","0.00001516","Ledger Wallets"
"1.98000000","PIP","1.35","0.00001226","Ledger Wallets"
"1.32280217","POL3","0.31","0.00000283","Ledger Wallets"
"19.79296146","PRIME","0.11","0.00000099","Ledger Wallets"
"4.10095164","RETH","20683.69","0.18833746","Ledger Wallets"
"2.99900000","SKYA","0.01","0.00000013","Ledger Wallets"
"12.46274149","SOL2","2333.47","0.02124768","Ledger Wallets"
"0.01038200","STATOM","0.08","0.00000069","Ledger Wallets"
"0.82965697","STETH","3677.25","0.03348360","Ledger Wallets"
"0.00099911","STINJ","0.02","0.00000017","Ledger Wallets"
"0.03557200","STOSMO","0.01","0.00000007","Ledger Wallets"
"0.12411100","STRD","0.01","0.00000010","Ledger Wallets"
"1331.69978000","TAOCAT","0.92","0.00000840","Ledger Wallets"
"0.13008938","TBTC","14354.50","0.13070644","Ledger Wallets"
"4.13395164","TRUMP","34.03","0.00030990","Ledger Wallets"
"3.00000000","TST","0.01","0.00000007","Ledger Wallets"
"8.48531583","TUSD","8.48","0.00007719","Ledger Wallets"
"312.38714800","USDC","312.67","0.00284709","Ledger Wallets"
"7224.64822548","VRT","0.13","0.00000119","Ledger Wallets"
"0.01128265","VVV3","0.03","0.00000029","Ledger Wallets"
"0.00133058","WETH","5.91","0.00005378","Ledger Wallets"
"8.53967597","WSTETH","45849.45","0.41748699","Ledger Wallets"
"40.08018400","XRP","116.11","0.00105727","Ledger Wallets"
"149.80000000","XTZ","116.85","0.00106402","Ledger Wallets"
"7.22464823","XVS","44.82","0.00040816","Ledger Wallets"
"4.39622824","ZEC","173.10","0.00157615","Ledger Wallets"
"-12.48339900","ATOM2","-55.70","-0.00050717","Ledger Wallets Staked"
"0.05406275","CAKE","0.14","0.00000127","Ledger Wallets Staked"
"3843208.00000000","AIR","0.02","0.00000015","Metamask - BSC - Std"
"0.00043187","BNB","0.36","0.00000331","Metamask - BSC - Std"
"252.60056709","CAKE","652.66","0.00594283","Metamask - BSC - Std"
"193708596.04610300","ELONGATE","0.21","0.00000194","Metamask - BSC - Std"
"205.83732978","JMPT","219.32","0.00199707","Metamask - BSC - Std"
"2000.00000000","ONX","1.97","0.00001792","Metamask - BSC - Std"
"0.44561718","4BELT","0.45","0.00000406","Metamask - BSC - Std"
"88.00000000","AC2","1.59","0.00001443","Metamask - BSC - SYL"
"0.00106905","ETH","4.73","0.00004304","Metamask - ETH non secure"
"0.43224436","PSP2","0.01","0.00000009","Metamask - ETH non secure"
"0.01101694","STETH","48.83","0.00044463","Metamask - ETH non secure"
"-1.00000019","MATIC","-0.24","-0.00000214","Metamask - Matic"
"1000.00000000","MEGADOGE","4.97","0.00004528","Metamask - Matic"
"141.37515718","BITTY","2.31","0.00002104","Metamask Base non secure"
"10000.00000000","BNKR","266.53","0.00242696","Metamask Base non secure"
"0.04744200","ETH","209.75","0.00190994","Metamask Base non secure"
"161.37515718","IT","0.01","0.00000007","Metamask Base non secure"
"0.99000000","PIP","0.67","0.00000613","Metamask Base non secure"
"50.00000000","SPX3","59.34","0.00054037","Metamask Base non secure"
"108.65486300","USDC","108.75","0.00099028","Metamask Base non secure"
"408.71162863","VVV3","1172.43","0.01067570","Metamask Base non secure"
"100.00000000","WORLD","0.20","0.00000178","Metamask Base non secure"
"51.82000000","NLUNA","0.02","0.00000022","Nexus Protocol"
"0.10000000","USDT","0.10","0.00000091","Okex Funding"
"-0.41030000","YFII","-31.22","-0.00028426","OKX Funding"
"0.00004350","BTC","4.78","0.00004350","Poloniex"
"70.00000000","SC","0.21","0.00000193","Poloniex"
"1.02055317","RON4","0.53","0.00000479","RON Transaction"
"8776.00000000","SIGT","3.28","0.00002986","Signatum"
"13082.74257338","ATR","151.03","0.00137522","Solana - StepN"
"1819.00000000","GIFT","15.18","0.00013825","Solana - StepN"
"2855.34122388","GMT5","112.03","0.00102011","Solana - StepN"
