"Ticker";"Name";"Type";"Amount";"Value in USD";"Value in BTC";"% of total";"Price in BTC";"Price in USD";"Trend 1h in %";"Trend 24h in %";"Trend 7d in %";"Trend 30d in %"
"SUN2";"Sun New";"Coin";"22451.74537143";"537.59";"0.00489504";"0.13";"0.000000218025";"0.02394404";"-0.32";"-1.50";"2.91";"18.51"
"ZEC";"Zcash";"Coin";"13.45912050";"529.94";"0.00482542";"0.13";"0.000358524207";"39.37401397";"-0.90";"-3.61";"9.75";"-5.23"
"POL3";"POL prev. MATIC";"Coin";"2088.99984407";"490.93";"0.00447022";"0.12";"0.000002139884";"0.23500735";"-0.11";"-2.37";"-6.60";"-1.59"
"ETC";"Ethereum Classic";"Coin";"20.57284284";"433.54";"0.00394760";"0.10";"0.000191884032";"21.07317835";"-0.10";"-4.03";"-1.80";"-9.23"
"GALA";"Gala";"Coin";"26264.31236112";"423.99";"0.00386065";"0.10";"0.000000146992";"0.01614302";"-0.06";"-4.09";"-3.02";"-11.48"
"THETA2";"Theta Network";"Coin";"513.08901778";"394.63";"0.00359335";"0.09";"0.000007003366";"0.76912695";"-0.43";"-3.31";"-3.63";"-16.81"
"TONCOIN";"Toncoin";"Coin";"119.00436599";"371.75";"0.00338502";"0.09";"0.000028444542";"3.12384986";"-0.55";"-2.23";"-4.87";"-7.46"
"PEPE4";"Pepe";"Coin";"36294348.17000002";"361.17";"0.00328863";"0.09";"0.000000000091";"0.00000999";"-0.49";"-2.09";"-7.60";"-21.26"
"SHIB";"Shiba Inu";"Coin";"29660645.55999999";"360.43";"0.00328195";"0.09";"0.000000000111";"0.00001219";"-0.37";"-1.40";"-3.67";"-13.48"
"DYDX";"Dydx";"Coin";"586.49624313";"356.48";"0.00324595";"0.08";"0.000005534477";"0.60780993";"-1.77";"-10.19";"-3.08";"-6.45"
"XNO2";"Nano";"Coin";"385.88217741";"345.72";"0.00314800";"0.08";"0.000008157942";"0.89592534";"1.83";"-6.16";"-3.00";"-12.74"
"RENDER";"Render";"Coin";"92.94875082";"321.24";"0.00292510";"0.08";"0.000031470000";"3.45611313";"-0.62";"-7.89";"-2.54";"-20.16"
"GNO";"Gnosis";"Coin";"2.34369114";"304.68";"0.00277431";"0.07";"0.001183734870";"130.00068725";"-0.05";"-2.53";"-2.03";"-10.13"
"ZRX";"0x Protocol";"Coin";"1252.67878899";"297.43";"0.00270829";"0.07";"0.000002162000";"0.23743618";"-0.26";"-2.84";"-3.83";"-14.67"
"KSM";"Kusama";"Coin";"20.31639451";"297.23";"0.00270649";"0.07";"0.000133217190";"14.63024085";"-0.23";"-2.90";"-0.20";"-9.66"
"ALGO";"Algorand";"Coin";"1176.95578283";"295.37";"0.00268948";"0.07";"0.000002285115";"0.25095697";"-0.51";"-0.93";"0.31";"-11.64"
"GHST";"Aavegotchi";"Coin";"667.70303745";"289.43";"0.00263542";"0.07";"0.000003946992";"0.43346841";"-0.31";"-3.04";"-6.94";"-18.14"
"BNT";"Bancor";"Coin";"381.23794148";"287.53";"0.00261811";"0.07";"0.000006867392";"0.75419395";"-0.15";"-4.30";"-3.47";"-5.30"
"GRT";"The Graph";"Coin";"3182.98809586";"279.30";"0.00254319";"0.07";"0.000000798995";"0.08774760";"-0.36";"-2.00";"-5.15";"-19.69"
"QTUM";"Qtum";"Coin";"96.27520147";"274.80";"0.00250220";"0.07";"0.000025990094";"2.85429632";"-0.70";"-8.60";"37.90";"21.21"
"SCRT";"Secret";"Coin";"1602.16202762";"273.77";"0.00249282";"0.06";"0.000001555908";"0.17087366";"-0.35";"-3.42";"-6.36";"-15.13"
"ARPA";"ARPA";"Coin";"12570.62299299";"269.63";"0.00245513";"0.06";"0.000000195307";"0.02144910";"-0.08";"-1.19";"-6.47";"-13.45"
"SAGA3";"Saga";"Coin";"1111.48741487";"268.21";"0.00244226";"0.06";"0.000002197286";"0.24131138";"-0.47";"-3.96";"-4.91";"-20.21"
